FILING_ID,AMEND_ID,LINE_ITEM,REC_TYPE,FORM_TYPE,TRAN_ID,AMOUNT,EXP_DATE,EXPN_DSCR,MEMO_CODE,MEMO_REFNO,DATE_THRU
996004,0,1,S496,F496,2004-0409,13406.67,2/17/2004 12:00:00 AM,Mailer,,2004-0409 ,
996052,0,1,S496,F496,EDT21,18822,2/17/2004 12:00:00 AM,Mailing,,,
996134,0,1,S496,F496,2004-0488,35000,2/18/2004 12:00:00 AM,Broadcast Cable Advertisement,,2004-0488 ,
996141,0,1,S496,F496,F496-186,50497.62,2/18/2004 12:00:00 AM,Mailer-Brochure,,,
996142,0,1,S496,F496,F496-264,25620.67,2/18/2004 12:00:00 AM,Mailer-Brochure,,,
996565,0,1,S496,F496,EDT16,99425.02,2/18/2004 12:00:00 AM,Mailer,,,
996706,0,1,S496,F496,EDT22,24665,2/18/2004 12:00:00 AM,Mailing,,,
996760,0,1,S496,F496,EDT5,1910.73,2/19/2004 12:00:00 AM,Postcard,,,
996768,0,1,S496,F496,EDT6,10000,2/19/2004 12:00:00 AM,MEDIA BUY (TELEVISON),,,
996768,0,2,S496,F496,EDT3,20000,2/19/2004 12:00:00 AM,TV BUY & PRODUCTION,,,
997396,0,1,S496,F496,F496-1130,12000,2/18/2004 12:00:00 AM,Television Advertisement,,,
997408,0,1,S496,F496,EDT51,22268.28,2/18/2004 12:00:00 AM,mailer,,,
997408,0,2,S496,F496,EDT50,27883.16,2/18/2004 12:00:00 AM,mailer,,,
997408,0,3,S496,F496,EDT49,19394.94,2/18/2004 12:00:00 AM,mailer,,,
997409,0,1,S496,F496,EDT52,16954.15,2/18/2004 12:00:00 AM,mailer,,,
997591,0,1,S496,F496,EDT1,15000,2/20/2004 12:00:00 AM,Mailer,,,
997725,0,1,S496,F496,F496-265,37063.60,2/19/2004 12:00:00 AM,Mailer-Brochure,,,
998136,0,1,S496,F496,2004-0564,5441.79,2/20/2004 12:00:00 AM,Postcard Mailing,,2004-0564 ,
998137,0,1,S496,F496,2004-0467,10556.56,2/20/2004 12:00:00 AM,Mailer,,2004-0467 ,
998141,0,1,S496,F496,2004-0590,3360,2/19/2004 12:00:00 AM,Mailer,,2004-0590 ,
998163,0,1,S496,F496,EDT10,10000,2/20/2004 12:00:00 AM,Mailer,,,
1045748,0,1,S496,F496,EDT171,3914.40,10/7/2004 12:00:00 AM,Phone Banks,,,
1046046,0,1,S496,F496,F496-374,1047.75,10/7/2004 12:00:00 AM,T-shirts,,,
1046046,0,2,S496,F496,F496-373,2464.78,10/7/2004 12:00:00 AM,T-shirts,,,
1046048,0,1,S496,F496,F496-376,1047.75,10/7/2004 12:00:00 AM,T-shirts,,,
602669,0,1,S496,F496,3495,1600,2/26/2000 12:00:00 AM,CONSULTING SERVICES,,,
602671,0,1,S496,F496,5351,168,2/22/2000 12:00:00 AM,PHONE BANK,,,
602672,0,1,S496,F496,5363,168,2/23/2000 12:00:00 AM,PHONE BANK,,,
602674,0,1,S496,F496,4738,1461.77,3/1/2000 12:00:00 AM,ENDORSEMENT AD RUNNING 3/04/00 3/05/00 3/06/00,,,
602675,0,1,S496,F496,4745,1129.04,3/2/2000 12:00:00 AM,NEWSPAPER AD,,,
602680,0,1,S496,F496,4750,242.44,3/2/2000 12:00:00 AM,BANNER,,,
602682,0,1,S496,F496,4763,1118.59,2/29/2000 12:00:00 AM,SLATE CARD,,,
